"","ORF","WT","swr1","Ratios"
"2243","YGR059W",0.0737046234312452,0.141476394861929,-0.940734335130546
"2238","YGR244C",10.5888975662889,20.3104892721297,-0.939672599084915
"5686","YHL021C",3.44227889432593,6.59072961429963,-0.937074195270822
"926","YBR233W",1.04278393150873,1.99102145939837,-0.933068513285665
"2003","YEL018W",1.3594408321763,2.59488412039441,-0.932656752285488
"5976","YKL091C",1.65425932590128,3.15733905606501,-0.932523782374385
"3683","YDR258C",6.79447436001368,12.9502660955322,-0.930547892581872
"3963","YGL164C",1.77164076321771,3.37127897024646,-0.928209916645178
"3796","YPR167C",0.941781299399244,1.7908841203254,-0.927208009368281
"3956","YJL213W",1.66244872850475,3.16078969984213,-0.926975202866543
"5474","YCR037C",5.86361226408573,11.135227468767,-0.925269417177461
"510","YGR273C",0.0545960173564779,0.103519313313607,-0.923032333397087
"1101","YGR073C",0.00545960173564779,0.0103519313313607,-0.923032333397087
"2542","YNL205C",0.0327576104138868,0.0621115879881641,-0.923032333397087
"4416","YLR458W",0.00545960173564779,0.0103519313313607,-0.923032333397087
"4713","YGR107W",0.0600556190921257,0.113871244644967,-0.923032333397087
"5113","YPR150W",0.0163788052069434,0.031055793994082,-0.923032333397087
"5026","YMR056C",0.737046234312452,1.39406008595657,-0.919465718376895
"2832","YDR448W",3.56511993337801,6.74255794049292,-0.919345403097885
"557","YJL210W",1.70066594065429,3.21600000027605,-0.919167624306209
"3579","YDL099W",2.67247504959959,5.05174248970401,-0.918604621356279
"5205","YML062C",1.96818642570103,3.71289270418136,-0.915676745991733
"4033","YDL208W",12.9228773082783,24.3546437789146,-0.91426955672104
"735","YOR257W",1.16289516969298,2.19115879847134,-0.913972994109621
"5155","YLR334C",0.106462233845132,0.200137339072973,-0.910648608941255
"5470","YJR146W",0.526851567490012,0.990334764033505,-0.910519722083538
"2889","YHR087W",0.707018424766389,1.32504721041417,-0.906224045710533
"3172","YNL274C",1.34306202696936,2.51551931352065,-0.905330331663628
"2676","YNL042W",1.13013755927909,2.1152446353747,-0.904326138867388
"704","YNL279W",2.24935591508689,4.20978540808668,-0.904234737942961
"824","YLL061W",5.98918310400563,11.2076909880865,-0.904057939457915
"2650","YOR244W",3.92818344879859,7.34987124526608,-0.903856671048834
"1636","YNL015W",1.49047127383185,2.78812017191314,-0.903524174507873
"3341","YIL121W",7.58611661168261,14.1821459239641,-0.902642392044414
"108","YDR179C",0.319386701535396,0.596961373441799,-0.902333340729251
"722","YML074C",15.8355748342464,29.5892703888059,-0.901904884637564
